,Unnamed: 0,user_id,business_id,rating,date,categories
116373,3251095,_zPT9ZmR5-nUfsprzIiRew,MqT4cWU_BHBm0kpxqyMg0w,4,2016-11-22 3:30,"['Burgers', 'Active Life', 'Fast Food']"
122045,3383428,dhPp4t9_fD0R0eNsp_gYZw,MqT4cWU_BHBm0kpxqyMg0w,1,2016-06-15 2:21,"['Burgers', 'Active Life', 'Fast Food']"
126831,3496490,5ezpruY9B7nVcRIgHHGyBg,MqT4cWU_BHBm0kpxqyMg0w,5,2015-08-02 22:52,"['Burgers', 'Active Life', 'Fast Food']"
128915,3546247,UhlXS6NdA5k4SRunpcKHJw,MqT4cWU_BHBm0kpxqyMg0w,1,2014-08-18 13:44,"['Burgers', 'Active Life', 'Fast Food']"
271539,7224456,HFItzRohDHZvcKDrM6ABZg,xAboCt1b_NoMjzTPOGPM8g,4,2012-09-11 13:51,"['Burgers', 'American (Traditional)', 'Beer', 'Wine & Spirits']"
272030,7237838,0bLLGXW36jdI__7eTNiUhg,xAboCt1b_NoMjzTPOGPM8g,3,2014-01-17 0:10,"['Burgers', 'American (Traditional)', 'Beer', 'Wine & Spirits']"
272108,7239808,JZcg3hKxNn4BaDijN8gAiw,xAboCt1b_NoMjzTPOGPM8g,4,2015-02-17 1:20,"['Burgers', 'American (Traditional)', 'Beer', 'Wine & Spirits']"
272180,7241964,Wy63uHklsqzZRcgcAt0FBg,xAboCt1b_NoMjzTPOGPM8g,3,2012-06-27 12:47,"['Burgers', 'American (Traditional)', 'Beer', 'Wine & Spirits']"
272288,7245048,lw0zhwe1Gqmr08PILEPjQQ,xAboCt1b_NoMjzTPOGPM8g,4,2016-01-04 23:17,"['Burgers', 'American (Traditional)', 'Beer', 'Wine & Spirits']"
272307,7245594,yhAOgrUuoDqMeuMRo8gYEw,xAboCt1b_NoMjzTPOGPM8g,1,2016-08-14 0:41,"['Burgers', 'American (Traditional)', 'Beer', 'Wine & Spirits']"
273014,7263897,Fo75NFRP6SwmhLX3LarpUA,xAboCt1b_NoMjzTPOGPM8g,4,2015-09-01 1:12,"['Burgers', 'American (Traditional)', 'Beer', 'Wine & Spirits']"
